image,gender-dlib,gender-mtcnn,gender-retinaface,race-dlib,race-mtcnn,race-retinaface
Winona_Ryder_,"{'Woman': np.int64(16), 'Man': np.int64(4)}","{'Woman': np.int64(19), 'Man': np.int64(1)}","{'Woman': np.int64(18), 'Man': np.int64(2)}",{'white': np.int64(20)},{'white': np.int64(20)},"{'white': np.int64(19), 'middle eastern': np.int64(1)}"
Tom_Ridge_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(10), 'asian': np.int64(9), 'latino hispanic': np.int64(1)}","{'white': np.int64(12), 'asian': np.int64(8)}","{'white': np.int64(14), 'asian': np.int64(6)}"
Jean_Chretien_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(8), 'latino hispanic': np.int64(8), 'asian': np.int64(2), 'middle eastern': np.int64(2)}","{'white': np.int64(15), 'asian': np.int64(4), 'latino hispanic': np.int64(1)}","{'white': np.int64(18), 'asian': np.int64(2)}"
Andre_Agassi_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(11), 'middle eastern': np.int64(7), 'latino hispanic': np.int64(2)}","{'white': np.int64(12), 'middle eastern': np.int64(6), 'latino hispanic': np.int64(1), 'black': np.int64(1)}","{'white': np.int64(11), 'middle eastern': np.int64(9)}"
David_Beckham_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},{'white': np.int64(20)},{'white': np.int64(20)},{'white': np.int64(20)}
Donald_Rumsfeld_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(17), 'middle eastern': np.int64(2), 'latino hispanic': np.int64(1)}","{'white': np.int64(19), 'middle eastern': np.int64(1)}","{'white': np.int64(19), 'middle eastern': np.int64(1)}"
Laura_Bush_,"{'Woman': np.int64(14), 'Man': np.int64(6)}","{'Woman': np.int64(18), 'Man': np.int64(2)}","{'Woman': np.int64(18), 'Man': np.int64(2)}",{'white': np.int64(20)},{'white': np.int64(20)},{'white': np.int64(20)}
Arnold_Schwarzenegger_,{'Man': np.int64(20)},"{'Man': np.int64(19), 'Woman': np.int64(1)}",{'Man': np.int64(20)},"{'asian': np.int64(10), 'white': np.int64(9), 'latino hispanic': np.int64(1)}","{'asian': np.int64(14), 'white': np.int64(4), 'black': np.int64(1), 'latino hispanic': np.int64(1)}","{'asian': np.int64(15), 'white': np.int64(3), 'latino hispanic': np.int64(2)}"
Juan_Carlos_Ferrero_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(13), 'asian': np.int64(5), 'middle eastern': np.int64(1), 'latino hispanic': np.int64(1)}","{'white': np.int64(13), 'asian': np.int64(5), 'middle eastern': np.int64(1), 'indian': np.int64(1)}","{'white': np.int64(16), 'asian': np.int64(2), 'latino hispanic': np.int64(1), 'indian': np.int64(1)}"
Colin_Powell_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'asian': np.int64(18), 'white': np.int64(1), 'black': np.int64(1)}","{'asian': np.int64(17), 'middle eastern': np.int64(2), 'white': np.int64(1)}","{'asian': np.int64(19), 'middle eastern': np.int64(1)}"
Saddam_Hussein_,"{'Man': np.int64(18), 'Woman': np.int64(1)}","{'Man': np.int64(18), 'Woman': np.int64(2)}","{'Man': np.int64(18), 'Woman': np.int64(2)}","{'latino hispanic': np.int64(11), 'asian': np.int64(3), 'middle eastern': np.int64(3), 'white': np.int64(2)}","{'latino hispanic': np.int64(14), 'asian': np.int64(3), 'middle eastern': np.int64(2), 'white': np.int64(1)}","{'latino hispanic': np.int64(15), 'asian': np.int64(3), 'white': np.int64(1), 'middle eastern': np.int64(1)}"
Ricardo_Lagos_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'asian': np.int64(16), 'latino hispanic': np.int64(2), 'indian': np.int64(1), 'white': np.int64(1)}","{'asian': np.int64(19), 'black': np.int64(1)}","{'asian': np.int64(17), 'black': np.int64(3)}"
Jeremy_Greenstock_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(15), 'middle eastern': np.int64(3), 'asian': np.int64(1), 'latino hispanic': np.int64(1)}","{'white': np.int64(19), 'indian': np.int64(1)}","{'white': np.int64(19), 'middle eastern': np.int64(1)}"
Lindsay_Davenport_,"{'Man': np.int64(17), 'Woman': np.int64(3)}","{'Woman': np.int64(14), 'Man': np.int64(6)}","{'Woman': np.int64(16), 'Man': np.int64(4)}","{'white': np.int64(15), 'latino hispanic': np.int64(3), 'asian': np.int64(2)}","{'white': np.int64(10), 'asian': np.int64(6), 'latino hispanic': np.int64(4)}","{'white': np.int64(12), 'latino hispanic': np.int64(4), 'asian': np.int64(4)}"
Hugo_Chavez_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'latino hispanic': np.int64(8), 'asian': np.int64(7), 'white': np.int64(3), 'middle eastern': np.int64(2)}","{'white': np.int64(8), 'latino hispanic': np.int64(7), 'asian': np.int64(5)}","{'white': np.int64(10), 'latino hispanic': np.int64(6), 'asian': np.int64(4)}"
Jennifer_Capriati_,"{'Man': np.int64(18), 'Woman': np.int64(2)}","{'Man': np.int64(12), 'Woman': np.int64(8)}","{'Woman': np.int64(11), 'Man': np.int64(9)}","{'latino hispanic': np.int64(8), 'white': np.int64(6), 'asian': np.int64(3), 'black': np.int64(2), 'indian': np.int64(1)}","{'white': np.int64(10), 'latino hispanic': np.int64(4), 'asian': np.int64(4), 'indian': np.int64(1), 'black': np.int64(1)}","{'white': np.int64(12), 'latino hispanic': np.int64(4), 'asian': np.int64(2), 'black': np.int64(1), 'indian': np.int64(1)}"
Tiger_Woods_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'black': np.int64(12), 'asian': np.int64(7), 'indian': np.int64(1)}","{'black': np.int64(13), 'asian': np.int64(7)}","{'black': np.int64(14), 'asian': np.int64(6)}"
Junichiro_Koizumi_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},{'asian': np.int64(20)},{'asian': np.int64(20)},"{'asian': np.int64(19), 'white': np.int64(1)}"
Gloria_Macapagal_Arroyo_,"{'Woman': np.int64(12), 'Man': np.int64(8)}","{'Woman': np.int64(19), 'Man': np.int64(1)}","{'Woman': np.int64(19), 'Man': np.int64(1)}","{'asian': np.int64(14), 'latino hispanic': np.int64(4), 'white': np.int64(2)}","{'asian': np.int64(15), 'latino hispanic': np.int64(4), 'white': np.int64(1)}","{'asian': np.int64(10), 'latino hispanic': np.int64(8), 'indian': np.int64(1), 'white': np.int64(1)}"
Alejandro_Toledo_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'asian': np.int64(8), 'middle eastern': np.int64(4), 'latino hispanic': np.int64(4), 'white': np.int64(3), 'black': np.int64(1)}","{'latino hispanic': np.int64(6), 'asian': np.int64(5), 'middle eastern': np.int64(4), 'white': np.int64(4), 'black': np.int64(1)}","{'latino hispanic': np.int64(6), 'asian': np.int64(6), 'middle eastern': np.int64(4), 'white': np.int64(4)}"
Hans_Blix_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},{'white': np.int64(20)},{'white': np.int64(20)},{'white': np.int64(20)}
Ariel_Sharon_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'middle eastern': np.int64(12), 'latino hispanic': np.int64(6), 'asian': np.int64(2)}","{'latino hispanic': np.int64(10), 'middle eastern': np.int64(9), 'white': np.int64(1)}","{'middle eastern': np.int64(9), 'latino hispanic': np.int64(7), 'asian': np.int64(2), 'white': np.int64(2)}"
Recep_Tayyip_Erdogan_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'middle eastern': np.int64(9), 'white': np.int64(6), 'latino hispanic': np.int64(4), 'indian': np.int64(1)}","{'middle eastern': np.int64(12), 'white': np.int64(5), 'latino hispanic': np.int64(3)}","{'middle eastern': np.int64(12), 'white': np.int64(6), 'latino hispanic': np.int64(2)}"
George_Robertson_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(19), 'asian': np.int64(1)}",{'white': np.int64(20)},{'white': np.int64(20)}
Vicente_Fox_,{'Man': np.int64(20)},"{'Man': np.int64(19), 'Woman': np.int64(1)}",{'Man': np.int64(20)},"{'middle eastern': np.int64(10), 'white': np.int64(5), 'latino hispanic': np.int64(5)}","{'middle eastern': np.int64(8), 'white': np.int64(8), 'latino hispanic': np.int64(3), 'asian': np.int64(1)}","{'white': np.int64(10), 'middle eastern': np.int64(7), 'latino hispanic': np.int64(2), 'indian': np.int64(1)}"
George_W_Bush_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(16), 'latino hispanic': np.int64(4)}","{'white': np.int64(15), 'latino hispanic': np.int64(4), 'middle eastern': np.int64(1)}","{'white': np.int64(17), 'latino hispanic': np.int64(2), 'middle eastern': np.int64(1)}"
Silvio_Berlusconi_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(11), 'middle eastern': np.int64(5), 'asian': np.int64(3), 'latino hispanic': np.int64(1)}","{'white': np.int64(11), 'middle eastern': np.int64(7), 'latino hispanic': np.int64(1), 'asian': np.int64(1)}","{'white': np.int64(10), 'middle eastern': np.int64(8), 'latino hispanic': np.int64(1), 'asian': np.int64(1)}"
Michael_Bloomberg_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},{'white': np.int64(20)},"{'white': np.int64(19), 'asian': np.int64(1)}","{'white': np.int64(19), 'asian': np.int64(1)}"
Atal_Bihari_Vajpayee_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'indian': np.int64(10), 'asian': np.int64(4), 'latino hispanic': np.int64(3), 'middle eastern': np.int64(2), 'white': np.int64(1)}","{'indian': np.int64(9), 'asian': np.int64(6), 'latino hispanic': np.int64(2), 'middle eastern': np.int64(2), 'white': np.int64(1)}","{'asian': np.int64(7), 'indian': np.int64(7), 'white': np.int64(3), 'middle eastern': np.int64(3)}"
Serena_Williams_,{'Man': np.int64(20)},"{'Man': np.int64(19), 'Woman': np.int64(1)}","{'Man': np.int64(19), 'Woman': np.int64(1)}",{'black': np.int64(20)},{'black': np.int64(20)},{'black': np.int64(20)}
Megawati_Sukarnoputri_,"{'Man': np.int64(18), 'Woman': np.int64(2)}","{'Woman': np.int64(15), 'Man': np.int64(5)}","{'Woman': np.int64(13), 'Man': np.int64(7)}","{'asian': np.int64(19), 'indian': np.int64(1)}","{'asian': np.int64(14), 'indian': np.int64(4), 'latino hispanic': np.int64(2)}","{'asian': np.int64(13), 'indian': np.int64(5), 'black': np.int64(1), 'latino hispanic': np.int64(1)}"
Gray_Davis_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(12), 'asian': np.int64(8)}","{'white': np.int64(14), 'asian': np.int64(5), 'black': np.int64(1)}","{'white': np.int64(12), 'asian': np.int64(7), 'black': np.int64(1)}"
Guillermo_Coria_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(18), 'asian': np.int64(2)}","{'white': np.int64(18), 'asian': np.int64(2)}","{'white': np.int64(17), 'asian': np.int64(2), 'black': np.int64(1)}"
Lleyton_Hewitt_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(17), 'latino hispanic': np.int64(2), 'middle eastern': np.int64(1)}","{'white': np.int64(14), 'asian': np.int64(4), 'latino hispanic': np.int64(2)}","{'white': np.int64(13), 'latino hispanic': np.int64(3), 'middle eastern': np.int64(2), 'asian': np.int64(2)}"
John_Ashcroft_,{'Man': np.int64(20)},{'Man': np.int64(20)},{'Man': np.int64(20)},"{'white': np.int64(16), 'latino hispanic': np.int64(2), 'asian': np.int64(1), 'middle eastern': np.int64(1)}","{'white': np.int64(16), 'asian': np.int64(2), 'latino hispanic': np.int64(2)}","{'white': np.int64(17), 'latino hispanic': np.int64(2), 'asian': np.int64(1)}"
